2026-06-04 17:23:36,363 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:37,254 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:37,301 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:38,134 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:38,172 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:39,025 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:39,069 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:39,903 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:39,946 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:40,798 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:40,854 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:41,694 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:41,734 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:42,578 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:42,621 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:43,464 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:43,501 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:44,336 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:44,375 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:45,230 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:45,287 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:46,130 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:46,174 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:47,035 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:47,097 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:47,958 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:48,009 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:48,854 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:48,899 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:49,757 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:49,800 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:50,670 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
